State,Constituency No,Constituency,Candidate,Party,Website
Karnataka,13,Davanagere ,Shri G.M. Siddeshwar,BJP,http://bjpkarnataka.org/mp-candidates/siddeswarashri-gowdar-mallikarjunappa/#more-1139
Karnataka,14,Shimoga ,Shri B.Y. Raghavendra,BJP,http://bjpkarnataka.org/mp-candidates/b-y-raghavendra/#more-1246
Karnataka,15,Udupi-Chickmagalore ,Shri D.V. Sadananda Gowda,BJP,http://bjpkarnataka.org/mp-candidates/shri-dv-sadananda-gowda/#more-1070
Karnataka,16,Hassan ,Shri K.H. Hanume Gowda,BJP,http://bjpkarnataka.org/mp-candidates/kh-hanume-gowda/#more-1676
Karnataka,17,Mangalore ,Shri Nalin Kumar Katilu,BJP,http://bjpkarnataka.org/mp-candidates/shri-naliln-kumar-katilu/#more-1048
Karnataka,18,Chitradurga (SC) ,Shri Janardhana Swamy,BJP,http://bjpkarnataka.org/mp-candidates/janardhana-swami/#more-1662
Karnataka,19,Tumkur ,Shri G.S. Basavaraj,BJP,http://bjpkarnataka.org/mp-candidates/gsbasavaraj/#more-1196
Karnataka,21,Mysore ,Shri C.H. Vijaya Shanker,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3946
Karnataka,22,Chamarajanagar (SC) ,Shri A.R. Krishna Murthy,BJP,http://bjpkarnataka.org/mp-candidates/ar-krishna-murthy-ex-mla/#more-1046
Karnataka,25,Bangalore Central ,Shri P.C. Mohan,BJP,
Karnataka,26,Bangalore South ,Shri Ananth Kumar,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=20
Karnataka,28,Kolar (SC) ,Shri D.S. Veeraiah ,BJP,
Kerala,1,Kasargod ,Shri K. Surendran,BJP,
Kerala,2,Kannur ,Shri P.P. Karunakaran Master,BJP,
Kerala,3,Vadakara ,Shri K.P. Sreeshan,BJP,
Kerala,4,Wayanadu ,Shri C. Vasudevan Master,BJP,
Kerala,5,Kozhikode ,Shri V. Muraleedharan,BJP,
Kerala,6,Malappuram ,Adv. N. Aravindan,BJP,
Kerala,7,Ponnani ,Shri K. Janachandran Master,BJP,
Kerala,8,Pallakkad ,Shri C.K. Padmanabhan,BJP,
Kerala,9,Alathur (SC) ,Smt. M. Bindu,BJP,
Kerala,10,Thrissur ,Smt. Adv. Rema Reghunandan,BJP,
Kerala,11,Chalakkudi ,Adv. K.V. Sabu,BJP,
Kerala,12,Ernakulam ,Shri A.N. Radhakrishnan,BJP,
Kerala,13,Idukki ,Shri Sreenagari Rajan,BJP,
Kerala,14,Kottayam ,Adv. K. Narayanan Namboothiri,BJP,
Kerala,16,Mavelikkara (SC) ,Shri P.M. Velayudhan,BJP,
Kerala,17,Pathanamthitta ,Shri B. Radhakrishna Menon,BJP,
Kerala,18,Kollam ,Shri Vayakal Madhu,BJP,
Kerala,19,Attingal ,Shri Thottakkad Sasi,BJP,
Kerala,20,Trivandrum ,Shri P.K. Krishnadas ,BJP,
Madhya Pradesh ,1,Murena ,Shri Narendra Singh Tomar,BJP,
Madhya Pradesh,2,Bhind (SC) ,Shri Ashok Argal,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=22
Madhya Pradesh,3,Gwalior ,Smt. Yashodhra Raje,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=4221
Madhya Pradesh,4,Guna ,Dr. Narottam Mishra,BJP,
Madhya Pradesh,5,Sagar ,Shri Bhupindra Singh,BJP,
Madhya Pradesh,6,Tikamgarh (SC) ,Shri Virendra Kumar Khatik,BJP,
Madhya Pradesh,7,Damoh ,Shri Shivraj Singh Lodhi,BJP,
Madhya Pradesh,9,Satna ,Shri Ganesh Singh,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3986
Madhya Pradesh,10,Rewa ,Shri Chandramani Tripathy,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3939
Madhya Pradesh,12,Shahdol (ST) ,Shri Narendra Mravi,BJP,
Madhya Pradesh,13,Jabalpur ,Shri Rakesh Singh,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3987
