State,Constituency No,Constituency,Candidate,Party,Website,Caste,Sex,Education
Kerala,20,Trivandrum ,P.K. Krishnadas ,BJP,,,Male,
Madhya Pradesh ,1,Murena ,Narendra Singh Tomar,BJP,,SC,Male,
Madhya Pradesh,2,Bhind  ,Ashok Argal,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=22,,Male,
Madhya Pradesh,3,Gwalior ,Yashodhra Raje,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=4221,,Female,
Madhya Pradesh,4,Guna ,Narottam Mishra,BJP,,,Male,Graduate
Madhya Pradesh,5,Sagar ,Bhupindra Singh,BJP,,,Male,
Madhya Pradesh,6,Tikamgarh  ,Virendra Kumar Khatik,BJP,,SC,Male,
Madhya Pradesh,7,Damoh ,Shivraj Singh Lodhi,BJP,,,Male,
Madhya Pradesh,9,Satna ,Ganesh Singh,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3986,,Male,
Madhya Pradesh,10,Rewa ,Chandramani Tripathy,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3939,,Male,
Madhya Pradesh,12,Shahdol  ,Narendra Mravi,BJP,,ST,Male,
Madhya Pradesh,13,Jabalpur ,Rakesh Singh,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3987,,Male,
Madhya Pradesh,14,Mandla  ,Faggan Singh Kulaste,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=207,ST,Male,
Madhya Pradesh,15,Balaghat ,K.D. Deshmukh,BJP,,,Male,
Madhya Pradesh,17,Hoshangabad ,Rampal Singh,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=4216,,Male,
Madhya Pradesh,18,Vidisha ,Sushma Swaraj,BJP,http://164.100.47.5:8080/members/website/Biodata.asp?no=94,,Female,
Madhya Pradesh,19,Bhopal ,Kailash Joshi,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3989,,Male,
Madhya Pradesh,20,Rajgarh ,Lakshman Singh,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=448,,Male,
Madhya Pradesh,21,Dewas  ,Thawar Chand Gehlot,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=137,SC,Male,
Madhya Pradesh,22,Ujjain  ,Satyanarayan Jatiya,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=160,SC,Male,
Madhya Pradesh,23,Mandsour ,Laxminarayan Pandey,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=286,,Male,Graduate
Madhya Pradesh,25,Dhar  ,Mukam Singh Kirade,BJP,,ST,Male,
Madhya Pradesh,26,Indore ,Sumitra Mahajan,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=220,,Female,
Madhya Pradesh,28,Khandwa ,Nand Kumar Singh Chouhan,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=82,,Male,
Madhya Pradesh,24,Ratlam  ,Dilip Singh Bhuria,BJP,,ST,Male,
Madhya Pradesh,27,Khargon  ,Makhan Singh,BJP,,ST,Male,
Madhya Pradesh,29,Betul  ,Jyoti Dhurve ,BJP,,ST,Female,
